"","V1","V3","total"
"1",1,"#coronavirus",1682651
"2",1,"#wuhan",311061
"3",1,"#china",272759
"4",1,"#coronavirusoutbreak",81587
"5",1,"#wuhancoronavirus",75525
"6",2,"#coronavirus",3725382
"7",2,"#covid19",680902
"8",2,"#china",640933
"9",2,"#wuhan",360844
"10",2,"#coronavirusoutbreak",154486
"11",3,"#coronavirus",4905626
"12",3,"#covid19",3702412
"13",3,"#covid<u+30fc>19",569439
"14",3,"#corona",150423
"15",3,"#covid2019",122756
"16",4,"#covid19",6185638
"17",4,"#coronavirus",4550657
"18",4,"#stayhome",591431
"19",4,"#covid",526357
"20",4,"#covid<u+30fc>19",322735
"21",5,"#covid19",6667390
"22",5,"#coronavirus",4541717
"23",5,"#covid",787328
"24",5,"#stayhome",361755
"25",5,"#covid<u+30fc>19",343572
"26",6,"#covid19",9731431
"27",6,"#coronavirus",3845994
"28",6,"#covid",813911
"29",6,"#stayhome",265989
"30",6,"#covid<u+30fc>19",181537
"31",7,"#covid19",9915172
"32",7,"#coronavirus",3709599
"33",7,"#covid",1048590
"34",7,"#covid<u+30fc>19",650998
"35",7,"#corona",108607
"36",8,"#covid19",9159674
"37",8,"#coronavirus",2874596
"38",8,"#covid",841188
"39",8,"#modijipostponejeeneet",394921
"40",8,"#swamyjihelpjeeneet",358124
"41",9,"#covid19",8007635
"42",9,"#coronavirus",2220017
"43",9,"#covid",880648
"44",9,"#wearamask",301460
"45",9,"#covidãƒ¼19",235592
"46",10,"#covid19",6284344
"47",10,"#coronavirus",1679463
"48",10,"#covid",747470
"49",10,"#endsars",349939
"50",10,"#trump",134068
"51",11,"#covid19",4429948
"52",11,"#coronavirus",1101567
"53",11,"#covid",595569
"54",11,"#lockdown",187369
"55",11,"#bts",55918
